Incident_ID,Timestamp,State,City,Industry,Organization,Attack_Type,Attack_Severity,Threat_Severity,Target_System,Security_Tools_Used,User_Role,Data_Compromised_GB,Attack_Duration_Min,Response_Time_Min,Financial_Loss_INR,Affected_Users,Mitigation_Method,Outcome,Reporting_Agency
1923,2025-01-08 06:39:19,Kerala,Thiruvananthapuram,Government,Reliance Retail,Business Email Compromise,8,High,Payment Gateway,CrowdStrike Falcon,HR Executive,68.5,571,161,6596408,7871,Threat Hunting,Resolved,State Cyber Crime Cell
1924,2024-02-24 12:35:58,Delhi,New Delhi,Banking,BSNL,Brute Force,4,High,Database Server,Palo Alto Cortex XDR,Finance Manager,18.92,443,88,4292761,9652,Backup Restored,Resolved,Internal SOC
1925,2024-12-19 18:56:58,Karnataka,Bengaluru,Education,Tech Mahindra,Data Breach,5,High,Email Server,Cisco Secure Endpoint,HR Executive,58.22,230,151,3214512,7445,Threat Hunting,Ongoing Investigation,CERT-In
1926,2025-02-28 21:15:33,Kerala,Kochi,Retail,Reliance Retail,Insider Threat,4,Medium,Email Server,Sophos Intercept X,Network Engineer,16.59,35,170,1243677,4670,Threat Hunting,Mitigated,CERT-In
1927,2025-02-28 16:00:28,Maharashtra,Nashik,Insurance,Apollo Hospitals,SQL Injection,8,High,HRMS,Splunk Enterprise Security,Network Engineer,38.83,564,216,8389015,6306,Password Reset,Resolved,Internal SOC
1928,2025-10-03 21:01:06,Kerala,Kochi,Healthcare,NPCI,Insider Threat,9,High,File Server,CrowdStrike Falcon,Finance Manager,25.94,115,83,6679994,841,Threat Hunting,Mitigated,Internal SOC
1929,2025-01-04 02:06:26,Karnataka,Mangaluru,Manufacturing,HDFC Bank,Phishing,1,Medium,Web Application,Microsoft Defender XDR,HR Executive,47.67,560,123,9083776,1129,Backup Restored,Resolved,State Cyber Crime Cell
1930,2025-10-29 22:54:05,Odisha,Cuttack,Insurance,NIC,SQL Injection,2,Low,Database Server,Palo Alto Cortex XDR,Network Engineer,5.85,71,25,4413235,6852,Patch Applied,Ongoing Investigation,State Cyber Crime Cell
1931,2025-11-22 21:02:54,Maharashtra,Nagpur,Government,LIC,SQL Injection,8,High,Cloud Infrastructure,SentinelOne,System Administrator,47.37,206,299,400834,8847,Network Isolation,Contained,NCIIPC
1932,2025-01-19 23:37:19,Tamil Nadu,Salem,IT Services,Wipro,XSS,7,High,Cloud Infrastructure,Splunk Enterprise Security,Database Administrator,25.22,185,55,4120283,311,Backup Restored,Contained,CERT-In
1933,2025-05-12 12:52:46,Tamil Nadu,Salem,Manufacturing,HDFC Bank,Brute Force,5,High,ERP System,Cisco Secure Endpoint,System Administrator,43.36,300,281,5529578,6188,Threat Hunting,Mitigated,Internal SOC
1934,2025-07-21 19:49:43,Tamil Nadu,Madurai,Retail,SBI,DDoS,8,High,ATM Network,Sophos Intercept X,HR Executive,16.18,586,259,3187612,6350,Endpoint Isolation,Ongoing Investigation,NCIIPC
1935,2025-10-11 04:00:45,Karnataka,Hubballi,IT Services,Apollo Hospitals,Data Breach,8,High,Web Application,Sophos Intercept X,Finance Manager,26.9,310,29,1412401,1633,Endpoint Isolation,Contained,State Cyber Crime Cell
1936,2025-07-05 23:35:53,Tamil Nadu,Madurai,Healthcare,HDFC Bank,Data Breach,3,Medium,Email Server,IBM QRadar,Network Engineer,1.51,210,273,821357,6945,Firewall Rules Updated,Recovered,NCIIPC
1937,2024-01-07 23:25:36,Tamil Nadu,Salem,Healthcare,Reliance Retail,XSS,7,High,File Server,Microsoft Defender XDR,Network Engineer,5.39,670,166,7287239,4361,Firewall Rules Updated,Contained,CERT-In
1938,2024-05-20 23:52:36,Maharashtra,Mumbai,Government,TCS,XSS,4,High,Database Server,IBM QRadar,Network Engineer,39.72,461,48,314613,3576,Endpoint Isolation,Recovered,CERT-In
1939,2024-08-20 07:11:56,Maharashtra,Mumbai,Energy,Airtel,Brute Force,4,High,Payment Gateway,IBM QRadar,HR Executive,46.18,646,42,9130883,8547,MFA Enabled,Resolved,State Cyber Crime Cell
1940,2025-10-06 07:19:33,Gujarat,Ahmedabad,Telecommunications,SBI,Brute Force,3,High,ERP System,Sophos Intercept X,Finance Manager,61.92,261,271,3252194,2048,Threat Hunting,Resolved,State Cyber Crime Cell
1941,2025-12-14 00:44:44,Odisha,Bhubaneswar,Manufacturing,NPCI,XSS,2,Medium,ATM Network,Cisco Secure Endpoint,Finance Manager,35.36,135,177,2933487,3281,Threat Hunting,Resolved,NCIIPC
1942,2024-01-20 01:52:27,West Bengal,Kolkata,Telecommunications,NPCI,Phishing,7,High,Database Server,Palo Alto Cortex XDR,Finance Manager,73.32,118,163,8338848,724,Network Isolation,Contained,NCIIPC
1943,2024-11-22 23:43:51,Telangana,Karimnagar,Banking,Apollo Hospitals,XSS,9,High,Email Server,Fortinet FortiGate,Security Analyst,67.53,10,93,6067377,6379,Password Reset,Contained,NCIIPC
1944,2024-12-09 23:15:42,Odisha,Cuttack,Banking,NIC,Data Breach,8,High,Cloud Infrastructure,Microsoft Defender XDR,HR Executive,65.63,641,72,7454376,6199,Patch Applied,Resolved,NCIIPC
1945,2025-02-13 23:27:19,Maharashtra,Nagpur,Manufacturing,Wipro,Phishing,5,High,Web Application,Microsoft Defender XDR,Network Engineer,30.77,283,74,3212600,9230,MFA Enabled,Resolved,CERT-In
1946,2024-02-21 14:00:35,Telangana,Karimnagar,Telecommunications,NPCI,Phishing,2,Medium,VPN Gateway,Fortinet FortiGate,Employee,4.84,445,51,6409743,8249,Network Isolation,Recovered,CERT-In
1947,2024-01-16 02:04:48,Karnataka,Mysuru,Banking,Tech Mahindra,Ransomware,8,High,Payment Gateway,SentinelOne,HR Executive,14.77,673,16,9361644,2484,Backup Restored,Recovered,State Cyber Crime Cell
1948,2024-09-20 15:30:08,Tamil Nadu,Salem,Banking,NPCI,Insider Threat,3,High,Payment Gateway,Fortinet FortiGate,Security Analyst,24.81,198,154,7021570,7153,Password Reset,Resolved,NCIIPC
1949,2024-07-17 08:15:31,Maharashtra,Nagpur,Government,Tech Mahindra,Zero-Day Exploit,5,High,Web Application,Sophos Intercept X,Employee,63.69,189,51,7193832,5941,MFA Enabled,Ongoing Investigation,NCIIPC
1950,2024-12-27 20:41:48,Gujarat,Vadodara,Education,BSNL,Zero-Day Exploit,4,High,ATM Network,Sophos Intercept X,Database Administrator,16.76,322,239,8635048,4818,Password Reset,Resolved,CERT-In
1951,2024-03-05 17:25:01,Andhra Pradesh,Kakinada,Retail,Tech Mahindra,Brute Force,5,High,VPN Gateway,SentinelOne,Network Engineer,24.25,360,123,1546805,9522,Network Isolation,Contained,Internal SOC
1952,2025-03-07 23:58:16,Odisha,Cuttack,Retail,TCS,Phishing,10,High,Database Server,Microsoft Sentinel,HR Executive,11.22,233,254,3945025,485,Backup Restored,Contained,CERT-In
1953,2024-12-07 14:07:25,West Bengal,Kolkata,Insurance,Apollo Hospitals,Data Breach,6,High,VPN Gateway,Fortinet FortiGate,System Administrator,19.22,282,162,2954035,460,Patch Applied,Recovered,NCIIPC
1954,2024-06-24 22:03:39,Delhi,New Delhi,Energy,Airtel,Brute Force,8,High,Cloud Infrastructure,Microsoft Sentinel,Finance Manager,70.23,109,239,5525585,9008,Threat Hunting,Ongoing Investigation,Internal SOC
1955,2024-03-02 11:51:29,Tamil Nadu,Madurai,Energy,NIC,SQL Injection,10,High,HRMS,IBM QRadar,Network Engineer,39.05,263,12,3555655,6871,Firewall Rules Updated,Ongoing Investigation,NCIIPC
1956,2025-05-16 03:43:39,Gujarat,Ahmedabad,Government,Reliance Retail,SQL Injection,9,High,ATM Network,SentinelOne,Network Engineer,60.21,547,206,8708661,1036,Password Reset,Contained,State Cyber Crime Cell
1957,2024-06-15 12:52:48,Delhi,New Delhi,Banking,BSNL,Zero-Day Exploit,5,High,Database Server,Cisco Secure Endpoint,Network Engineer,73.86,136,79,1294542,1009,Password Reset,Resolved,NCIIPC
1958,2025-01-19 18:14:22,Kerala,Kochi,Retail,Infosys,Data Breach,7,High,HRMS,Palo Alto Cortex XDR,System Administrator,19.99,578,162,4465995,5194,Endpoint Isolation,Mitigated,State Cyber Crime Cell
1959,2024-06-13 07:49:53,Telangana,Hyderabad,IT Services,Infosys,Malware,7,High,Web Application,CrowdStrike Falcon,System Administrator,2.36,123,159,9974013,3952,Backup Restored,Resolved,NCIIPC
1960,2025-06-10 15:14:57,Gujarat,Ahmedabad,Telecommunications,SBI,Insider Threat,5,High,Email Server,Microsoft Defender XDR,Network Engineer,47.19,563,75,6497327,1323,Threat Hunting,Contained,Internal SOC
1961,2025-11-10 17:56:57,Telangana,Warangal,Education,Infosys,DDoS,5,High,Payment Gateway,Splunk Enterprise Security,Network Engineer,35.94,97,238,2876797,2442,Firewall Rules Updated,Ongoing Investigation,State Cyber Crime Cell
1962,2024-04-10 03:53:10,Andhra Pradesh,Tirupati,IT Services,Infosys,SQL Injection,7,High,VPN Gateway,Cisco Secure Endpoint,Security Analyst,7.66,177,243,7573040,6334,Threat Hunting,Ongoing Investigation,NCIIPC
1963,2025-01-08 17:23:05,Tamil Nadu,Coimbatore,IT Services,Wipro,Brute Force,4,High,Email Server,Splunk Enterprise Security,Network Engineer,27.49,439,96,7587992,3400,Password Reset,Ongoing Investigation,CERT-In
1964,2025-10-27 16:21:13,Gujarat,Vadodara,Retail,Tech Mahindra,Zero-Day Exploit,2,Medium,Web Application,Cisco Secure Endpoint,Employee,49.88,59,129,509158,2188,Firewall Rules Updated,Resolved,Internal SOC
1965,2024-04-28 03:50:00,Tamil Nadu,Salem,Energy,Apollo Hospitals,XSS,10,High,Web Application,Sophos Intercept X,HR Executive,64.58,317,83,3953578,4012,MFA Enabled,Contained,Internal SOC
1966,2025-05-04 06:28:32,Telangana,Warangal,Insurance,NPCI,SQL Injection,3,High,Web Application,SentinelOne,Database Administrator,45.8,688,64,1624018,6628,Password Reset,Resolved,State Cyber Crime Cell
1967,2024-10-01 05:03:33,Gujarat,Ahmedabad,Government,LIC,Brute Force,6,High,Email Server,Fortinet FortiGate,HR Executive,46.63,411,263,8297044,2536,Backup Restored,Recovered,NCIIPC
1968,2024-02-06 00:14:37,Gujarat,Surat,Manufacturing,BSNL,Credential Theft,4,High,ATM Network,Cisco Secure Endpoint,HR Executive,35.56,313,18,3044642,3637,Threat Hunting,Mitigated,NCIIPC
1969,2025-08-07 20:20:54,Kerala,Kochi,Healthcare,Reliance Retail,SQL Injection,2,Medium,ATM Network,Sophos Intercept X,System Administrator,20.48,585,17,8070999,5926,Firewall Rules Updated,Recovered,Internal SOC
1970,2024-10-16 02:42:51,Andhra Pradesh,Vijayawada,Insurance,ICICI Bank,Malware,6,High,File Server,Sophos Intercept X,HR Executive,42.94,694,88,6160498,6543,Endpoint Isolation,Contained,CERT-In
1971,2025-09-19 06:12:19,Telangana,Warangal,Energy,NPCI,SQL Injection,1,Medium,Web Application,Palo Alto Cortex XDR,Security Analyst,52.56,337,16,9664976,5247,Firewall Rules Updated,Ongoing Investigation,CERT-In
1972,2025-06-27 00:02:02,Maharashtra,Nagpur,Education,ICICI Bank,XSS,7,High,File Server,Fortinet FortiGate,Employee,44.86,277,85,1562705,7488,Patch Applied,Ongoing Investigation,State Cyber Crime Cell
1973,2025-06-10 16:09:29,Telangana,Warangal,Retail,Apollo Hospitals,Malware,3,High,Payment Gateway,IBM QRadar,Network Engineer,60.86,560,215,3685411,6621,MFA Enabled,Ongoing Investigation,NCIIPC
1974,2025-08-12 12:01:54,Odisha,Bhubaneswar,Healthcare,LIC,Brute Force,1,Medium,Cloud Infrastructure,Microsoft Defender XDR,Network Engineer,43.48,518,253,4083098,6818,Patch Applied,Mitigated,CERT-In
1975,2024-04-24 12:29:53,Maharashtra,Nashik,Insurance,Wipro,Data Breach,7,High,Cloud Infrastructure,CrowdStrike Falcon,Security Analyst,72.18,39,42,5274350,9776,Patch Applied,Resolved,State Cyber Crime Cell
1976,2024-02-06 19:30:44,Odisha,Cuttack,Insurance,Airtel,Data Breach,7,High,Payment Gateway,Fortinet FortiGate,Employee,20.19,703,8,4088501,6292,Patch Applied,Recovered,NCIIPC
1977,2025-11-27 12:31:14,Delhi,New Delhi,Energy,SBI,Credential Theft,2,Medium,ATM Network,SentinelOne,System Administrator,26.05,501,97,4171133,3660,Patch Applied,Recovered,NCIIPC
1978,2025-07-15 12:14:43,Odisha,Bhubaneswar,Retail,ICICI Bank,Zero-Day Exploit,7,High,Cloud Infrastructure,Palo Alto Cortex XDR,HR Executive,31.23,527,10,4424542,5898,Password Reset,Contained,Internal SOC
1979,2025-03-05 09:45:48,Tamil Nadu,Madurai,Banking,Wipro,Data Breach,7,High,File Server,Fortinet FortiGate,Network Engineer,1.59,224,151,3796808,704,Threat Hunting,Contained,NCIIPC
1980,2024-11-02 22:22:24,Gujarat,Surat,Retail,Reliance Retail,Data Breach,7,High,Cloud Infrastructure,Cisco Secure Endpoint,Database Administrator,58.26,451,65,1428462,5388,Password Reset,Mitigated,NCIIPC
1981,2025-11-28 10:18:13,Odisha,Cuttack,Retail,Airtel,Brute Force,5,High,VPN Gateway,Splunk Enterprise Security,Employee,20.0,150,158,5169404,986,Endpoint Isolation,Mitigated,CERT-In
1982,2024-04-21 21:23:12,West Bengal,Siliguri,Telecommunications,Wipro,Ransomware,3,Medium,Cloud Infrastructure,SentinelOne,System Administrator,71.27,41,93,4574799,1227,Endpoint Isolation,Contained,Internal SOC
1983,2025-01-13 08:03:48,Telangana,Nizamabad,Energy,Apollo Hospitals,Business Email Compromise,8,High,File Server,SentinelOne,Security Analyst,0.32,497,91,1531816,9670,MFA Enabled,Ongoing Investigation,CERT-In
1984,2025-09-11 21:59:00,Odisha,Cuttack,Insurance,TCS,Insider Threat,3,High,HRMS,SentinelOne,Security Analyst,48.27,471,285,2965401,4476,Endpoint Isolation,Mitigated,Internal SOC
1985,2024-11-06 18:30:59,West Bengal,Siliguri,Healthcare,Wipro,Zero-Day Exploit,9,High,File Server,IBM QRadar,System Administrator,63.87,292,166,785069,67,Firewall Rules Updated,Recovered,NCIIPC
1986,2024-11-22 18:52:28,Karnataka,Bengaluru,IT Services,TCS,Brute Force,4,High,HRMS,SentinelOne,HR Executive,35.51,698,218,8645104,3103,Network Isolation,Mitigated,CERT-In
1987,2024-06-26 04:20:30,Telangana,Karimnagar,Government,Infosys,Ransomware,5,High,ATM Network,Microsoft Sentinel,System Administrator,47.33,316,33,4272735,3878,Backup Restored,Recovered,CERT-In
1988,2025-07-13 18:40:55,Kerala,Kochi,Insurance,SBI,Malware,3,High,ERP System,Fortinet FortiGate,Employee,52.07,415,183,2854578,5963,Backup Restored,Ongoing Investigation,NCIIPC
1989,2024-09-16 00:16:06,Delhi,New Delhi,Education,Wipro,Phishing,6,High,Email Server,SentinelOne,System Administrator,46.82,519,114,1244290,9282,Password Reset,Recovered,NCIIPC
1990,2025-01-19 02:48:26,Maharashtra,Mumbai,Energy,NPCI,Brute Force,1,Low,HRMS,Palo Alto Cortex XDR,HR Executive,1.12,203,93,1499931,2155,Firewall Rules Updated,Mitigated,Internal SOC
1991,2025-11-03 15:04:10,Telangana,Warangal,Manufacturing,HDFC Bank,Phishing,10,High,File Server,SentinelOne,System Administrator,72.05,361,249,9255742,968,Network Isolation,Mitigated,State Cyber Crime Cell
1992,2025-01-23 19:04:01,Tamil Nadu,Coimbatore,Energy,BSNL,Zero-Day Exploit,7,Medium,Database Server,Fortinet FortiGate,Network Engineer,1.01,30,5,5398467,2740,Patch Applied,Ongoing Investigation,State Cyber Crime Cell
1993,2024-10-18 22:10:51,Odisha,Cuttack,Manufacturing,Infosys,Phishing,4,Medium,VPN Gateway,SentinelOne,Security Analyst,7.06,25,62,9797309,2522,Password Reset,Mitigated,CERT-In
1994,2025-11-27 19:57:37,Delhi,New Delhi,Government,Airtel,Brute Force,6,High,Cloud Infrastructure,Splunk Enterprise Security,Finance Manager,71.4,357,127,1783291,4831,Endpoint Isolation,Contained,Internal SOC
1995,2025-04-24 16:36:36,Kerala,Kochi,Manufacturing,ICICI Bank,Credential Theft,6,High,ERP System,IBM QRadar,System Administrator,70.62,197,221,9141376,6372,Network Isolation,Contained,Internal SOC
1996,2025-09-06 20:49:04,Telangana,Warangal,Retail,Tech Mahindra,Phishing,1,Medium,ERP System,CrowdStrike Falcon,System Administrator,51.51,39,210,714443,7112,Endpoint Isolation,Mitigated,CERT-In
1997,2024-10-29 22:30:37,Kerala,Thiruvananthapuram,Banking,Wipro,Data Breach,5,High,Database Server,Microsoft Sentinel,Security Analyst,53.23,201,184,8274917,6251,Patch Applied,Ongoing Investigation,State Cyber Crime Cell
1998,2024-09-02 00:50:54,West Bengal,Siliguri,Healthcare,Reliance Retail,XSS,3,Medium,VPN Gateway,Cisco Secure Endpoint,HR Executive,61.7,171,10,5496799,4329,Endpoint Isolation,Mitigated,NCIIPC
1999,2024-08-28 17:25:11,West Bengal,Siliguri,Energy,ICICI Bank,XSS,10,High,Database Server,Splunk Enterprise Security,System Administrator,23.99,585,72,1850823,1836,Backup Restored,Contained,CERT-In
2000,2025-10-28 08:59:04,Kerala,Kochi,Retail,TCS,SQL Injection,1,Medium,Database Server,Palo Alto Cortex XDR,System Administrator,25.08,331,76,3356484,4059,Threat Hunting,Mitigated,Internal SOC
2001,2024-04-24 01:31:16,Andhra Pradesh,Vijayawada,IT Services,TCS,Data Breach,5,High,Cloud Infrastructure,Splunk Enterprise Security,Database Administrator,15.74,298,160,9475031,3359,Network Isolation,Recovered,Internal SOC
2002,2024-08-31 11:42:18,Tamil Nadu,Madurai,Government,Infosys,Credential Theft,8,High,Web Application,Cisco Secure Endpoint,Network Engineer,57.61,664,133,7122222,966,Backup Restored,Contained,Internal SOC
2003,2024-10-25 08:12:43,Andhra Pradesh,Kakinada,Telecommunications,Airtel,Brute Force,4,Medium,Email Server,Microsoft Defender XDR,Network Engineer,12.49,591,8,9473650,4727,Network Isolation,Resolved,NCIIPC
2004,2024-07-01 09:55:55,Telangana,Nizamabad,Telecommunications,HDFC Bank,Insider Threat,1,Medium,File Server,CrowdStrike Falcon,Database Administrator,16.43,687,181,8117192,5976,Firewall Rules Updated,Contained,NCIIPC
2005,2025-11-01 01:46:10,Tamil Nadu,Chennai,Retail,Airtel,Insider Threat,8,High,Database Server,CrowdStrike Falcon,Employee,47.83,683,231,6455404,4652,Threat Hunting,Recovered,NCIIPC
2006,2025-08-22 20:22:49,Andhra Pradesh,Tirupati,Telecommunications,HDFC Bank,Malware,9,High,Payment Gateway,Microsoft Sentinel,System Administrator,41.8,328,30,3987524,6448,MFA Enabled,Ongoing Investigation,State Cyber Crime Cell
2007,2025-06-18 17:15:48,Gujarat,Surat,Banking,TCS,Data Breach,4,Medium,HRMS,Microsoft Defender XDR,Database Administrator,31.76,144,43,3763998,8627,Network Isolation,Contained,State Cyber Crime Cell
2008,2024-04-05 22:24:03,Telangana,Karimnagar,Healthcare,TCS,Business Email Compromise,1,Medium,HRMS,Splunk Enterprise Security,Database Administrator,35.57,119,253,6738480,9030,Password Reset,Recovered,CERT-In
2009,2024-06-21 05:47:09,Kerala,Thiruvananthapuram,Insurance,Airtel,Brute Force,7,High,HRMS,CrowdStrike Falcon,Finance Manager,17.11,167,143,488492,8153,MFA Enabled,Resolved,State Cyber Crime Cell
2010,2025-07-07 13:45:20,West Bengal,Kolkata,Banking,BSNL,XSS,1,Medium,Cloud Infrastructure,Splunk Enterprise Security,Network Engineer,30.06,48,74,4786517,7249,Network Isolation,Mitigated,Internal SOC
2011,2024-12-17 06:51:37,Tamil Nadu,Madurai,Healthcare,NIC,Malware,6,High,Payment Gateway,Microsoft Defender XDR,System Administrator,12.95,365,42,562414,8500,MFA Enabled,Recovered,State Cyber Crime Cell
2012,2025-06-16 09:39:07,Maharashtra,Pune,IT Services,Wipro,SQL Injection,7,High,VPN Gateway,Microsoft Sentinel,Employee,10.77,699,13,3063974,8606,Password Reset,Ongoing Investigation,State Cyber Crime Cell
2013,2025-09-23 03:45:45,Maharashtra,Nagpur,Telecommunications,LIC,Credential Theft,1,Medium,ATM Network,Fortinet FortiGate,Employee,62.4,667,34,729016,1400,Endpoint Isolation,Recovered,Internal SOC
2014,2024-10-21 15:58:45,Kerala,Kochi,Energy,Infosys,DDoS,9,High,Payment Gateway,Microsoft Sentinel,Database Administrator,35.84,718,52,538774,9956,Threat Hunting,Resolved,State Cyber Crime Cell
2015,2025-08-06 09:38:15,Karnataka,Mysuru,Retail,HDFC Bank,Insider Threat,4,High,VPN Gateway,Microsoft Defender XDR,Employee,41.8,573,292,2346099,1853,Network Isolation,Mitigated,State Cyber Crime Cell
2016,2025-04-23 09:28:43,West Bengal,Siliguri,Government,Airtel,Brute Force,5,Medium,VPN Gateway,Palo Alto Cortex XDR,Security Analyst,45.34,46,12,1497967,7661,Backup Restored,Mitigated,State Cyber Crime Cell
2017,2024-11-11 22:50:57,Gujarat,Surat,Education,Airtel,Credential Theft,3,High,HRMS,Splunk Enterprise Security,Security Analyst,53.4,674,81,8554847,2743,Threat Hunting,Mitigated,NCIIPC
2018,2025-02-10 11:55:21,Odisha,Cuttack,Government,HDFC Bank,Business Email Compromise,10,High,ATM Network,CrowdStrike Falcon,Finance Manager,58.82,104,247,468457,9043,Endpoint Isolation,Mitigated,CERT-In
2019,2024-01-05 22:48:27,West Bengal,Siliguri,Government,NIC,Business Email Compromise,3,High,HRMS,Microsoft Defender XDR,Finance Manager,67.98,144,136,9772888,1422,Threat Hunting,Ongoing Investigation,State Cyber Crime Cell
2020,2025-11-05 08:47:59,Odisha,Bhubaneswar,Insurance,NPCI,Zero-Day Exploit,1,Medium,File Server,IBM QRadar,Database Administrator,20.77,621,102,855008,5751,Patch Applied,Resolved,CERT-In
2021,2024-02-08 19:15:31,Andhra Pradesh,Kakinada,Banking,BSNL,Ransomware,6,High,Web Application,IBM QRadar,Finance Manager,28.94,125,93,3533632,9277,Threat Hunting,Contained,Internal SOC
2022,2025-09-03 20:53:47,Andhra Pradesh,Tirupati,Healthcare,Tech Mahindra,Insider Threat,10,High,Payment Gateway,Fortinet FortiGate,Finance Manager,12.09,342,163,4601892,5119,Threat Hunting,Mitigated,State Cyber Crime Cell
2023,2025-08-20 13:40:31,Andhra Pradesh,Tirupati,Telecommunications,NIC,Brute Force,10,High,File Server,Cisco Secure Endpoint,Database Administrator,56.73,403,198,7905388,8494,Password Reset,Resolved,Internal SOC
2024,2025-04-24 22:42:51,Delhi,New Delhi,Healthcare,Reliance Retail,DDoS,8,High,ATM Network,Sophos Intercept X,Security Analyst,1.15,618,87,2346948,8746,Password Reset,Ongoing Investigation,Internal SOC
2025,2025-07-13 18:14:44,Tamil Nadu,Chennai,Government,Reliance Retail,Data Breach,3,High,Web Application,Microsoft Defender XDR,Network Engineer,27.67,606,104,5037896,5535,Threat Hunting,Mitigated,CERT-In
2026,2024-01-09 15:21:02,Delhi,New Delhi,Manufacturing,Reliance Retail,Insider Threat,1,Medium,HRMS,IBM QRadar,HR Executive,36.83,434,115,3401506,6260,Password Reset,Resolved,NCIIPC
2027,2024-08-17 09:36:34,Odisha,Bhubaneswar,Government,LIC,Phishing,2,Medium,HRMS,Splunk Enterprise Security,Employee,65.98,190,294,3900135,442,Threat Hunting,Recovered,CERT-In
2028,2024-03-05 07:25:58,West Bengal,Kolkata,Insurance,NIC,SQL Injection,4,High,Payment Gateway,Microsoft Sentinel,Database Administrator,46.78,129,215,6393786,3796,Patch Applied,Resolved,State Cyber Crime Cell
2029,2025-09-23 19:47:25,West Bengal,Siliguri,IT Services,TCS,XSS,5,High,Email Server,Palo Alto Cortex XDR,Finance Manager,55.69,110,91,9764027,6054,MFA Enabled,Mitigated,NCIIPC
2030,2024-09-25 05:44:06,Maharashtra,Mumbai,Telecommunications,HDFC Bank,XSS,5,High,File Server,Splunk Enterprise Security,Network Engineer,38.94,606,95,1340156,8922,Patch Applied,Mitigated,Internal SOC
2031,2024-12-08 17:18:00,Kerala,Thiruvananthapuram,Government,HDFC Bank,Malware,4,High,Payment Gateway,SentinelOne,HR Executive,12.92,294,265,2599103,755,Password Reset,Resolved,Internal SOC
2032,2024-05-14 16:39:20,Delhi,New Delhi,Manufacturing,Airtel,Phishing,6,High,Web Application,SentinelOne,Database Administrator,48.11,149,51,364798,6147,Firewall Rules Updated,Resolved,State Cyber Crime Cell
2033,2024-09-27 21:04:41,Delhi,New Delhi,Banking,Wipro,Malware,7,High,VPN Gateway,Microsoft Sentinel,System Administrator,52.37,679,203,6010481,6603,Password Reset,Contained,Internal SOC
2034,2024-02-12 19:02:34,Maharashtra,Mumbai,Insurance,Airtel,Brute Force,2,Medium,File Server,Microsoft Defender XDR,Database Administrator,70.81,54,27,2531064,9852,Threat Hunting,Ongoing Investigation,Internal SOC
2035,2024-04-01 22:22:40,Tamil Nadu,Coimbatore,Manufacturing,HDFC Bank,Ransomware,5,High,Email Server,Splunk Enterprise Security,Employee,31.29,132,9,7283928,6525,Endpoint Isolation,Contained,CERT-In
2036,2025-01-21 17:36:43,Odisha,Cuttack,Telecommunications,Infosys,Zero-Day Exploit,4,High,VPN Gateway,Fortinet FortiGate,Employee,38.71,660,92,451552,6407,Password Reset,Contained,Internal SOC
2037,2025-08-27 00:54:03,Delhi,New Delhi,IT Services,Tech Mahindra,Credential Theft,6,High,Email Server,Microsoft Sentinel,Network Engineer,67.11,581,9,4771902,2885,Password Reset,Ongoing Investigation,State Cyber Crime Cell
2038,2025-10-07 18:06:42,Andhra Pradesh,Kakinada,Retail,Tech Mahindra,XSS,1,Medium,ATM Network,IBM QRadar,Finance Manager,11.2,397,236,9338163,719,Backup Restored,Ongoing Investigation,CERT-In
2039,2025-05-26 21:33:14,Gujarat,Surat,Telecommunications,BSNL,Insider Threat,1,Medium,Web Application,Fortinet FortiGate,Employee,34.79,522,44,1858475,5709,Threat Hunting,Recovered,NCIIPC
2040,2024-07-29 21:58:14,Karnataka,Hubballi,Telecommunications,Reliance Retail,Brute Force,1,Medium,Database Server,Fortinet FortiGate,Employee,42.5,83,140,6272396,5570,Patch Applied,Ongoing Investigation,NCIIPC
2041,2025-05-29 19:35:42,Gujarat,Surat,Energy,BSNL,Brute Force,2,Medium,Cloud Infrastructure,Palo Alto Cortex XDR,Employee,12.48,390,104,4552442,3879,Password Reset,Contained,CERT-In
2042,2024-04-16 10:01:29,Odisha,Bhubaneswar,Education,BSNL,DDoS,1,Medium,Payment Gateway,IBM QRadar,HR Executive,17.92,291,203,8426687,5940,Backup Restored,Mitigated,Internal SOC
2043,2024-12-04 11:22:35,Maharashtra,Nashik,Telecommunications,NIC,Brute Force,7,High,Email Server,Palo Alto Cortex XDR,Database Administrator,72.8,631,59,6798965,2081,MFA Enabled,Recovered,Internal SOC
2044,2025-02-04 21:54:49,Delhi,New Delhi,Healthcare,Tech Mahindra,Data Breach,6,High,ERP System,Microsoft Defender XDR,HR Executive,22.93,123,143,3128073,3016,Backup Restored,Recovered,Internal SOC
2045,2025-03-11 21:43:46,Gujarat,Vadodara,Education,Airtel,Credential Theft,2,Medium,Cloud Infrastructure,SentinelOne,Employee,4.92,410,32,5131771,805,Firewall Rules Updated,Mitigated,State Cyber Crime Cell
2046,2024-02-03 19:03:08,Andhra Pradesh,Kakinada,Government,Infosys,Phishing,5,High,File Server,Splunk Enterprise Security,Finance Manager,4.66,596,116,5118272,4765,MFA Enabled,Resolved,NCIIPC
2047,2024-12-20 15:54:46,Gujarat,Surat,Energy,Apollo Hospitals,Malware,3,High,ERP System,Splunk Enterprise Security,System Administrator,44.01,288,216,7229933,6914,Firewall Rules Updated,Recovered,Internal SOC
