Incident_ID,Timestamp,State,City,Industry,Organization,Attack_Type,Attack_Severity,Threat_Severity,Target_System,Security_Tools_Used,User_Role,Data_Compromised_GB,Attack_Duration_Min,Response_Time_Min,Financial_Loss_INR,Affected_Users,Mitigation_Method,Outcome,Reporting_Agency,Severity_Norm,Loss_Norm,Data_Norm,Users_Norm,Response_Norm,TSI_Score
2876,2024-06-27 09:33:28,Telangana,Karimnagar,Telecommunications,SBI,Data Breach,1,Medium,File Server,Sophos Intercept X,Database Administrator,68.9,72,68,9877140,6128,Backup Restored,Mitigated,Internal SOC,0.1,0.9876923311962196,0.9184491978609627,0.6125675405243146,0.2135593220338983,0.55
2877,2025-01-22 00:49:57,Odisha,Cuttack,Healthcare,Airtel,Credential Theft,5,High,Payment Gateway,Fortinet FortiGate,Database Administrator,74.1,268,100,425217,937,Endpoint Isolation,Recovered,Internal SOC,0.5,0.037678139163136413,0.9879679144385026,0.09315589353612168,0.3220338983050847,0.42
2878,2024-04-28 09:04:02,Telangana,Nizamabad,Banking,LIC,Ransomware,5,High,Web Application,Splunk Enterprise Security,System Administrator,30.37,137,100,8112334,8268,Endpoint Isolation,Contained,NCIIPC,0.5,0.8103114166262281,0.40334224598930485,0.8266960176105663,0.3220338983050847,0.57
2879,2024-03-14 20:21:08,Delhi,New Delhi,Healthcare,NIC,Brute Force,9,High,ATM Network,Microsoft Sentinel,Network Engineer,51.36,137,267,7775722,9237,Firewall Rules Updated,Ongoing Investigation,State Cyber Crime Cell,0.9,0.776478494245392,0.6839572192513369,0.9236541925155093,0.888135593220339,0.83
2880,2025-09-30 07:12:16,Maharashtra,Nashik,Healthcare,LIC,SQL Injection,8,High,Email Server,Palo Alto Cortex XDR,Finance Manager,35.67,71,7,3979164,9335,Backup Restored,Contained,Internal SOC,0.8,0.394885882786672,0.47419786096256683,0.9334600760456274,0.006779661016949152,0.57
2881,2024-04-18 15:29:47,Andhra Pradesh,Visakhapatnam,Healthcare,Infosys,Insider Threat,10,High,Payment Gateway,IBM QRadar,System Administrator,73.58,214,149,4942310,7727,Backup Restored,Contained,Internal SOC,1.0,0.4916918310577165,0.9810160427807486,0.7725635381228737,0.488135593220339,0.8
2882,2024-07-20 23:04:37,West Bengal,Siliguri,Insurance,TCS,Zero-Day Exploit,9,High,Web Application,Splunk Enterprise Security,HR Executive,6.89,123,251,9034631,9950,Threat Hunting,Recovered,NCIIPC,0.9,0.9030116258079508,0.08943850267379679,0.9949969981989194,0.8338983050847457,0.74
2883,2025-06-02 04:14:46,Odisha,Cuttack,Education,Reliance Retail,XSS,3,Medium,Cloud Infrastructure,SentinelOne,Network Engineer,32.42,17,10,4803727,3601,Threat Hunting,Resolved,NCIIPC,0.3,0.4777628330353542,0.43074866310160426,0.3597158294976986,0.01694915254237288,0.35
2884,2024-06-05 09:33:25,Andhra Pradesh,Vijayawada,Healthcare,NIC,Data Breach,10,High,ATM Network,Splunk Enterprise Security,HR Executive,39.38,690,234,5109930,9562,MFA Enabled,Resolved,State Cyber Crime Cell,1.0,0.5085393422857053,0.5237967914438503,0.9561737042225336,0.7762711864406779,0.76
2885,2024-06-14 19:10:19,Andhra Pradesh,Tirupati,Retail,Wipro,XSS,8,High,VPN Gateway,Splunk Enterprise Security,Database Administrator,47.76,420,224,4114473,3559,Firewall Rules Updated,Contained,CERT-In,0.8,0.40848581058018074,0.6358288770053475,0.35551330798479086,0.7423728813559322,0.62
2886,2025-10-28 09:59:35,Delhi,New Delhi,Telecommunications,ICICI Bank,Ransomware,5,High,VPN Gateway,Palo Alto Cortex XDR,Network Engineer,10.51,709,293,4388590,9449,Network Isolation,Ongoing Investigation,NCIIPC,0.5,0.4360373511796474,0.1378342245989305,0.9448669201520913,0.976271186440678,0.5
2887,2025-02-01 01:07:16,Telangana,Warangal,Telecommunications,NPCI,Zero-Day Exploit,7,High,Database Server,SentinelOne,HR Executive,44.38,10,20,9344091,4708,Firewall Rules Updated,Ongoing Investigation,Internal SOC,0.7,0.9341154966146171,0.5906417112299466,0.4704822893736242,0.05084745762711865,0.65
2888,2024-08-23 19:39:26,Maharashtra,Nashik,Government,Apollo Hospitals,Business Email Compromise,3,High,Cloud Infrastructure,Splunk Enterprise Security,Database Administrator,63.28,486,140,8342148,9328,Patch Applied,Resolved,CERT-In,0.3,0.8334100560806429,0.8433155080213904,0.9327596557934761,0.4576271186440678,0.62
2889,2025-03-22 07:38:44,Karnataka,Bengaluru,Education,TCS,Business Email Compromise,9,High,VPN Gateway,SentinelOne,Finance Manager,42.98,617,23,1621533,7470,Backup Restored,Mitigated,Internal SOC,0.9,0.15792003894969306,0.5719251336898395,0.7468481088653192,0.061016949152542375,0.55
2890,2025-10-24 10:20:11,Telangana,Hyderabad,Manufacturing,HDFC Bank,SQL Injection,3,High,Cloud Infrastructure,Microsoft Defender XDR,Employee,13.73,516,254,337476,6709,Network Isolation,Resolved,NCIIPC,0.3,0.028859278152189253,0.1808823529411765,0.6707024214528717,0.8440677966101695,0.3
2891,2024-12-16 09:30:01,Kerala,Thiruvananthapuram,Education,NIC,Credential Theft,6,High,ERP System,Cisco Secure Endpoint,Network Engineer,9.31,577,190,4124711,1052,Network Isolation,Recovered,Internal SOC,0.6,0.40951483348885603,0.1217914438502674,0.10466279767860716,0.6271186440677966,0.41
2892,2025-06-29 23:18:30,West Bengal,Kolkata,IT Services,SBI,XSS,2,Medium,Email Server,SentinelOne,Network Engineer,50.47,242,32,9139299,7795,Network Isolation,Ongoing Investigation,Internal SOC,0.2,0.9135318221163337,0.6720588235294117,0.7793676205723434,0.09152542372881356,0.52
2893,2025-03-19 12:55:14,Telangana,Karimnagar,Manufacturing,Infosys,Phishing,9,High,Cloud Infrastructure,Sophos Intercept X,Employee,55.88,503,274,9044368,5319,Patch Applied,Ongoing Investigation,NCIIPC,0.9,0.9039902931318199,0.7443850267379679,0.5316189713828297,0.911864406779661,0.83
2894,2024-12-24 13:19:06,Kerala,Kochi,Telecommunications,LIC,Brute Force,9,High,Web Application,Splunk Enterprise Security,Network Engineer,17.95,188,57,287991,2968,Password Reset,Recovered,Internal SOC,0.9,0.023885533413393018,0.23729946524064172,0.2963778266960176,0.17627118644067796,0.42
2895,2025-02-18 09:41:16,Maharashtra,Nashik,Education,Airtel,Business Email Compromise,4,High,File Server,Microsoft Sentinel,HR Executive,44.35,619,200,785014,5261,MFA Enabled,Resolved,CERT-In,0.4,0.07384138935581437,0.5902406417112299,0.5258154892935761,0.6610169491525424,0.4
2896,2025-12-02 15:57:06,Maharashtra,Nashik,Education,HDFC Bank,Brute Force,10,High,Web Application,Microsoft Defender XDR,Security Analyst,20.2,321,95,1215636,6088,Endpoint Isolation,Ongoing Investigation,Internal SOC,1.0,0.11712327087364628,0.26737967914438504,0.6085651390834501,0.3050847457627119,0.52
2897,2025-10-16 16:59:50,Tamil Nadu,Chennai,IT Services,Airtel,Business Email Compromise,4,Medium,Cloud Infrastructure,Splunk Enterprise Security,HR Executive,33.4,23,69,5660866,2066,MFA Enabled,Recovered,Internal SOC,0.4,0.5639140019080847,0.4438502673796791,0.2061236742045227,0.21694915254237288,0.41
2898,2024-01-06 21:22:33,Andhra Pradesh,Kakinada,Banking,BSNL,Phishing,9,High,ATM Network,CrowdStrike Falcon,Employee,22.21,39,85,5837909,2831,Firewall Rules Updated,Contained,State Cyber Crime Cell,0.9,0.5817086202730579,0.2942513368983958,0.28266960176105665,0.2711864406779661,0.57
2899,2025-03-25 21:54:35,Tamil Nadu,Coimbatore,Education,Wipro,DDoS,7,High,Database Server,Fortinet FortiGate,System Administrator,55.6,104,97,5843788,7985,MFA Enabled,Ongoing Investigation,CERT-In,0.7,0.5822995194408741,0.7406417112299465,0.7983790274164498,0.31186440677966104,0.65
2900,2024-07-29 20:02:50,Karnataka,Mangaluru,Government,Reliance Retail,Phishing,5,High,ATM Network,Palo Alto Cortex XDR,Security Analyst,67.15,717,23,6696850,5720,Patch Applied,Ongoing Investigation,State Cyber Crime Cell,0.5,0.668040908434852,0.895053475935829,0.5717430458274965,0.061016949152542375,0.58
2901,2024-08-12 04:53:32,Karnataka,Mangaluru,Education,Reliance Retail,XSS,6,High,Database Server,Cisco Secure Endpoint,System Administrator,64.57,653,42,9651175,2638,Patch Applied,Mitigated,State Cyber Crime Cell,0.6,0.9649805553065137,0.8605614973262031,0.2633580148088853,0.12542372881355932,0.66
2902,2024-04-07 22:38:35,Karnataka,Mysuru,Insurance,Infosys,Brute Force,1,Medium,Web Application,Cisco Secure Endpoint,Finance Manager,29.47,42,86,6467846,4498,Network Isolation,Recovered,State Cyber Crime Cell,0.1,0.6450236822013813,0.3913101604278075,0.4494696818090855,0.2745762711864407,0.35
2903,2025-06-15 02:37:23,Gujarat,Vadodara,Insurance,TCS,Data Breach,4,High,Web Application,Palo Alto Cortex XDR,System Administrator,23.85,194,78,3294349,1661,Patch Applied,Ongoing Investigation,CERT-In,0.4,0.32605502488430277,0.31617647058823534,0.16559935961576946,0.24745762711864408,0.33
2904,2025-12-08 10:23:24,Gujarat,Ahmedabad,Government,TCS,Phishing,7,High,Payment Gateway,Fortinet FortiGate,HR Executive,24.5,366,141,4703036,2079,Password Reset,Contained,NCIIPC,0.7,0.46764236559079264,0.32486631016042783,0.20742445467280368,0.4610169491525424,0.49
2905,2025-05-08 12:08:28,Maharashtra,Nagpur,Education,Tech Mahindra,Credential Theft,1,Medium,VPN Gateway,Microsoft Sentinel,Finance Manager,59.96,553,228,1122023,3495,Patch Applied,Ongoing Investigation,Internal SOC,0.1,0.10771421426592814,0.7989304812834225,0.34910946567940765,0.7559322033898305,0.33
2906,2024-08-27 23:38:52,Odisha,Bhubaneswar,Energy,Reliance Retail,Data Breach,2,Medium,File Server,Cisco Secure Endpoint,System Administrator,65.83,194,115,3145136,1036,Firewall Rules Updated,Resolved,NCIIPC,0.2,0.31105760397473414,0.8774064171122994,0.10306183710226136,0.3728813559322034,0.37
2907,2024-04-06 02:24:07,Kerala,Thiruvananthapuram,IT Services,NPCI,Phishing,9,High,File Server,Microsoft Defender XDR,Finance Manager,44.67,267,213,4625833,2497,Network Isolation,Recovered,Internal SOC,0.9,0.4598826805333149,0.5945187165775401,0.2492495497298379,0.7050847457627119,0.64
2908,2025-05-08 16:38:11,Karnataka,Mangaluru,Banking,BSNL,Zero-Day Exploit,1,Medium,Cloud Infrastructure,Palo Alto Cortex XDR,Database Administrator,60.43,277,279,7796879,6114,Network Isolation,Ongoing Investigation,CERT-In,0.1,0.7786049874744252,0.8052139037433155,0.611166700020012,0.9288135593220339,0.54
2909,2025-07-21 21:10:06,Maharashtra,Mumbai,Government,TCS,DDoS,7,High,Web Application,CrowdStrike Falcon,Employee,7.14,302,226,8222226,8755,Endpoint Isolation,Resolved,State Cyber Crime Cell,0.7,0.8213566779546265,0.0927807486631016,0.8754252551530919,0.7491525423728813,0.63
2910,2024-07-25 22:19:33,Odisha,Bhubaneswar,Healthcare,BSNL,Credential Theft,10,High,HRMS,Splunk Enterprise Security,Database Administrator,43.04,333,85,9111349,914,Firewall Rules Updated,Resolved,NCIIPC,1.0,0.9107225634430114,0.5727272727272728,0.09085451270762457,0.2711864406779661,0.73
2911,2025-05-31 18:45:20,Andhra Pradesh,Tirupati,Healthcare,LIC,Ransomware,9,High,Database Server,CrowdStrike Falcon,System Administrator,51.84,670,40,3231688,8271,Network Isolation,Resolved,CERT-In,0.9,0.31975695841814716,0.6903743315508022,0.8269961977186312,0.11864406779661017,0.63
2912,2024-01-27 20:33:57,Maharashtra,Nashik,Energy,Reliance Retail,Business Email Compromise,7,High,Database Server,Splunk Enterprise Security,Employee,35.67,656,181,9838248,2934,Threat Hunting,Resolved,CERT-In,0.7,0.983783290469105,0.47419786096256683,0.2929757854712828,0.5966101694915255,0.67
2913,2024-08-21 05:55:38,Gujarat,Ahmedabad,Energy,NIC,SQL Injection,2,Medium,VPN Gateway,Microsoft Defender XDR,Database Administrator,10.17,471,31,4792945,879,Network Isolation,Mitigated,CERT-In,0.2,0.47667913260545225,0.13328877005347595,0.08735241144686812,0.08813559322033898,0.23
2914,2024-03-28 05:39:37,West Bengal,Kolkata,Government,Reliance Retail,DDoS,6,High,Cloud Infrastructure,SentinelOne,Database Administrator,36.12,189,179,7085197,3652,Network Isolation,Resolved,CERT-In,0.6,0.7070737233904405,0.48021390374331546,0.3648188913348009,0.5898305084745763,0.58
2915,2024-11-15 17:11:32,Karnataka,Bengaluru,Telecommunications,TCS,Zero-Day Exploit,9,High,Web Application,Palo Alto Cortex XDR,HR Executive,35.23,432,155,8831976,1983,Threat Hunting,Recovered,CERT-In,0.9,0.8826427414987511,0.4683155080213903,0.19781869121472884,0.5084745762711864,0.7
2916,2024-09-08 13:31:21,Karnataka,Bengaluru,IT Services,Airtel,Credential Theft,8,High,VPN Gateway,Cisco Secure Endpoint,Network Engineer,14.47,648,260,6303618,9065,MFA Enabled,Resolved,State Cyber Crime Cell,0.8,0.6285171013998652,0.19077540106951874,0.9064438663197919,0.864406779661017,0.65
2917,2025-07-21 20:01:58,Telangana,Karimnagar,Telecommunications,SBI,Malware,6,High,ATM Network,IBM QRadar,Network Engineer,65.56,702,76,6612664,9453,Patch Applied,Recovered,NCIIPC,0.6,0.6595793610047155,0.8737967914438503,0.9452671602961777,0.24067796610169492,0.67
2918,2025-06-10 14:05:53,Kerala,Kochi,Education,ICICI Bank,SQL Injection,4,High,Web Application,Microsoft Sentinel,System Administrator,12.95,182,262,1170476,4508,Password Reset,Contained,State Cyber Crime Cell,0.4,0.11258423253063247,0.17045454545454547,0.4504702821693016,0.8711864406779661,0.33
2919,2025-01-17 15:42:04,Tamil Nadu,Chennai,Healthcare,BSNL,XSS,10,High,ERP System,Microsoft Sentinel,Network Engineer,20.07,691,168,4397296,1655,Password Reset,Ongoing Investigation,Internal SOC,1.0,0.43691239253957387,0.26564171122994656,0.16499899939963977,0.5525423728813559,0.58
2920,2024-03-26 08:42:12,Tamil Nadu,Salem,Telecommunications,Apollo Hospitals,SQL Injection,4,High,HRMS,SentinelOne,Finance Manager,72.59,628,168,4042825,1329,Firewall Rules Updated,Recovered,CERT-In,0.4,0.4012844594021415,0.9677807486631016,0.13237942765659397,0.5525423728813559,0.5
2921,2024-10-17 12:40:04,Karnataka,Hubballi,Telecommunications,TCS,Zero-Day Exploit,5,High,Payment Gateway,IBM QRadar,Database Administrator,46.59,306,68,7736872,717,Endpoint Isolation,Mitigated,NCIIPC,0.5,0.7725736749445485,0.6201871657754011,0.07114268561136682,0.2135593220338983,0.52
2922,2024-01-25 20:13:02,Maharashtra,Nagpur,Energy,Tech Mahindra,Credential Theft,2,Medium,HRMS,Splunk Enterprise Security,Network Engineer,11.32,459,138,7321212,2361,Network Isolation,Contained,State Cyber Crime Cell,0.2,0.7307956262807506,0.1486631016042781,0.23564138483089853,0.45084745762711864,0.35
2923,2024-10-10 04:09:27,Gujarat,Surat,Banking,Apollo Hospitals,Ransomware,3,High,Email Server,Fortinet FortiGate,Database Administrator,67.16,510,253,9464692,2471,Firewall Rules Updated,Ongoing Investigation,CERT-In,0.3,0.9462371211320176,0.895187165775401,0.24664798879327596,0.8406779661016949,0.63
2924,2025-03-26 19:43:19,Delhi,New Delhi,Insurance,ICICI Bank,SQL Injection,2,High,HRMS,SentinelOne,Finance Manager,24.72,709,222,6854991,4824,Password Reset,Resolved,NCIIPC,0.2,0.6839356839574947,0.32780748663101605,0.4820892535521313,0.735593220338983,0.43
2925,2024-01-15 08:29:00,Kerala,Kochi,Retail,Reliance Retail,Phishing,7,High,HRMS,CrowdStrike Falcon,Finance Manager,36.15,298,240,2654030,8091,Firewall Rules Updated,Ongoing Investigation,CERT-In,0.7,0.2616964665858029,0.48061497326203206,0.8089853912347409,0.7966101694915254,0.57
2926,2024-08-23 01:20:25,West Bengal,Kolkata,Telecommunications,Airtel,DDoS,9,High,ERP System,Cisco Secure Endpoint,System Administrator,20.37,177,170,1567372,3962,MFA Enabled,Contained,State Cyber Crime Cell,0.9,0.15247630875270524,0.26965240641711236,0.3958375025015009,0.559322033898305,0.5
2927,2025-05-04 17:49:15,Delhi,New Delhi,Manufacturing,TCS,Business Email Compromise,3,High,Payment Gateway,Fortinet FortiGate,Security Analyst,45.59,321,134,6299314,7019,Patch Applied,Mitigated,NCIIPC,0.3,0.6280845057172183,0.6068181818181818,0.7017210326195717,0.43728813559322033,0.5
2928,2025-11-18 02:20:03,West Bengal,Kolkata,Insurance,Infosys,Data Breach,7,High,File Server,Cisco Secure Endpoint,HR Executive,36.01,435,18,4721326,5208,Endpoint Isolation,Contained,CERT-In,0.7,0.4694806962217431,0.47874331550802135,0.5205123073844307,0.04406779661016949,0.51
2929,2024-03-22 14:26:57,Odisha,Cuttack,Insurance,TCS,Brute Force,1,Medium,VPN Gateway,Microsoft Sentinel,Employee,73.25,539,222,7686144,4066,Backup Restored,Recovered,Internal SOC,0.1,0.7674749960901552,0.9766042780748663,0.40624374624774867,0.735593220338983,0.54
2930,2025-10-28 18:23:34,Telangana,Karimnagar,Insurance,LIC,Insider Threat,8,High,Email Server,SentinelOne,Employee,53.81,679,15,5825386,8640,Patch Applied,Mitigated,CERT-In,0.8,0.5804499316732005,0.716711229946524,0.8639183510106063,0.03389830508474576,0.66
2931,2025-05-02 10:12:33,Telangana,Warangal,Telecommunications,SBI,Data Breach,6,High,Cloud Infrastructure,Cisco Secure Endpoint,Employee,22.76,629,206,7797438,8398,Password Reset,Ongoing Investigation,Internal SOC,0.6,0.7786611726478916,0.30160427807486634,0.839703822293376,0.6813559322033899,0.62
2932,2025-05-17 15:53:00,Gujarat,Surat,Education,Airtel,Zero-Day Exploit,5,High,Payment Gateway,Cisco Secure Endpoint,Network Engineer,68.95,575,146,1096587,717,Network Isolation,Mitigated,CERT-In,0.5,0.10515763810798087,0.9191176470588236,0.07114268561136682,0.47796610169491527,0.44
2933,2024-04-08 19:31:12,Kerala,Thiruvananthapuram,Education,BSNL,Zero-Day Exploit,4,High,Payment Gateway,Sophos Intercept X,System Administrator,73.81,283,298,4628106,5115,MFA Enabled,Mitigated,CERT-In,0.4,0.4601111401027053,0.9840909090909091,0.5112067240344207,0.9932203389830508,0.6
2934,2025-02-28 11:24:42,West Bengal,Siliguri,Government,Infosys,XSS,6,High,Cloud Infrastructure,Splunk Enterprise Security,Database Administrator,16.18,670,82,926152,1136,Firewall Rules Updated,Mitigated,CERT-In,0.6,0.08802719080967358,0.21363636363636365,0.11306784070442265,0.26101694915254237,0.31
2935,2025-04-09 22:18:59,Andhra Pradesh,Visakhapatnam,Education,NPCI,Malware,1,Medium,Email Server,Sophos Intercept X,Finance Manager,12.33,70,150,5783156,7963,Firewall Rules Updated,Ongoing Investigation,State Cyber Crime Cell,0.1,0.5762053880676763,0.16216577540106952,0.7961777066239744,0.4915254237288136,0.34
2936,2024-02-01 15:05:11,West Bengal,Kolkata,IT Services,Apollo Hospitals,Business Email Compromise,3,High,ERP System,Palo Alto Cortex XDR,System Administrator,74.84,597,291,2260331,7080,Threat Hunting,Resolved,CERT-In,0.3,0.22212572131108654,0.997860962566845,0.7078246948168901,0.9694915254237289,0.53
2937,2024-06-17 14:29:48,West Bengal,Siliguri,IT Services,BSNL,Zero-Day Exploit,8,High,Web Application,Fortinet FortiGate,Security Analyst,23.55,62,278,9918613,5643,Firewall Rules Updated,Contained,Internal SOC,0.8,0.9918607886187132,0.31216577540106955,0.5640384230538323,0.9254237288135593,0.74
2938,2024-09-11 00:08:32,West Bengal,Siliguri,Education,NIC,Zero-Day Exploit,6,High,Database Server,Palo Alto Cortex XDR,Finance Manager,5.04,493,120,4731836,4661,Firewall Rules Updated,Mitigated,Internal SOC,0.6,0.47053705789103173,0.06470588235294118,0.46577946768060835,0.3898305084745763,0.43
2939,2025-09-07 11:23:54,Gujarat,Vadodara,Education,NPCI,Brute Force,9,High,ERP System,IBM QRadar,Employee,36.8,352,74,3883196,732,MFA Enabled,Contained,Internal SOC,0.9,0.3852401247773198,0.48930481283422456,0.07264358615169102,0.23389830508474577,0.54
2940,2025-01-15 10:47:23,Kerala,Kochi,Energy,TCS,Brute Force,1,Medium,HRMS,Palo Alto Cortex XDR,Database Administrator,45.9,216,102,5570429,845,Firewall Rules Updated,Recovered,State Cyber Crime Cell,0.1,0.5548241655345874,0.6109625668449198,0.08395037022213328,0.3288135593220339,0.34
2941,2024-04-29 11:24:47,Maharashtra,Pune,Energy,LIC,Zero-Day Exploit,1,Medium,Payment Gateway,SentinelOne,Finance Manager,74.85,231,234,4664708,9852,Threat Hunting,Mitigated,Internal SOC,0.1,0.4637900125878911,0.997994652406417,0.9851911146688013,0.7762711864406779,0.53
2942,2024-07-12 05:18:00,West Bengal,Kolkata,Telecommunications,Wipro,Zero-Day Exploit,1,Medium,Web Application,Microsoft Defender XDR,Employee,7.66,307,263,6878855,8961,Patch Applied,Contained,CERT-In,0.1,0.6863342581607206,0.09973262032085561,0.8960376225735441,0.8745762711864407,0.4
2943,2024-10-19 18:57:05,Odisha,Cuttack,Government,LIC,Business Email Compromise,7,High,HRMS,Splunk Enterprise Security,HR Executive,57.23,132,275,9319090,5970,Threat Hunting,Recovered,NCIIPC,0.7,0.9316026423716214,0.7624331550802138,0.5967580548328998,0.9152542372881356,0.78
2944,2025-08-01 13:45:52,Telangana,Karimnagar,Government,HDFC Bank,XSS,1,Medium,HRMS,Microsoft Sentinel,Security Analyst,55.88,581,50,6308375,1529,Threat Hunting,Resolved,CERT-In,0.1,0.6289952281801512,0.7443850267379679,0.15239143486091655,0.15254237288135594,0.37
2945,2024-01-09 10:46:22,Maharashtra,Nashik,Insurance,Apollo Hospitals,Insider Threat,5,Medium,ATM Network,Microsoft Defender XDR,HR Executive,15.34,44,52,978954,667,MFA Enabled,Recovered,CERT-In,0.5,0.09333432771374388,0.20240641711229948,0.06613968381028618,0.15932203389830507,0.26
2946,2025-12-25 07:27:52,Telangana,Nizamabad,Retail,NIC,Credential Theft,10,High,Database Server,Palo Alto Cortex XDR,Finance Manager,12.75,52,216,9228239,4479,Network Isolation,Contained,State Cyber Crime Cell,1.0,0.9224711947963081,0.1677807486631016,0.4475685411246748,0.7152542372881356,0.73
2947,2024-04-25 03:44:46,Gujarat,Surat,Retail,Infosys,SQL Injection,1,Medium,Web Application,Cisco Secure Endpoint,System Administrator,33.33,235,136,9635023,2532,Firewall Rules Updated,Ongoing Investigation,Internal SOC,0.1,0.9633571153747963,0.44291443850267376,0.2527516509905944,0.4440677966101695,0.43
2948,2025-12-16 20:07:58,Odisha,Bhubaneswar,Government,TCS,DDoS,3,Medium,VPN Gateway,Cisco Secure Endpoint,Finance Manager,60.82,200,57,4564646,3087,Threat Hunting,Resolved,CERT-In,0.3,0.4537327660272479,0.810427807486631,0.30828497098258956,0.17627118644067796,0.43
2949,2024-02-19 20:00:06,Tamil Nadu,Madurai,Energy,BSNL,XSS,8,High,ERP System,Splunk Enterprise Security,Security Analyst,35.21,156,124,3515544,8881,MFA Enabled,Recovered,Internal SOC,0.8,0.34828736736178145,0.46804812834224596,0.8880328196918151,0.4033898305084746,0.59
2950,2025-02-07 20:53:05,Delhi,New Delhi,Manufacturing,LIC,Phishing,1,Medium,Cloud Infrastructure,Microsoft Sentinel,Security Analyst,59.73,259,252,1444950,6490,Firewall Rules Updated,Recovered,Internal SOC,0.1,0.14017165525340416,0.795855614973262,0.6487892735641385,0.8372881355932204,0.38
2951,2024-08-06 04:49:52,Delhi,New Delhi,Education,SBI,Business Email Compromise,9,High,ATM Network,Sophos Intercept X,HR Executive,17.08,609,289,4746706,4610,Threat Hunting,Resolved,CERT-In,0.9,0.4720316438113288,0.22566844919786097,0.4606764058435061,0.9627118644067797,0.62
2952,2025-02-01 23:24:47,Karnataka,Bengaluru,Banking,ICICI Bank,Business Email Compromise,2,Medium,ATM Network,Fortinet FortiGate,Network Engineer,17.59,169,163,9743203,5951,MFA Enabled,Resolved,State Cyber Crime Cell,0.2,0.9742303033275694,0.2324866310160428,0.5948569141484891,0.535593220338983,0.47
2953,2024-01-07 00:23:44,West Bengal,Kolkata,Government,Reliance Retail,Phishing,4,High,Email Server,CrowdStrike Falcon,Security Analyst,57.71,670,44,3703106,8272,Patch Applied,Contained,State Cyber Crime Cell,0.4,0.36713925198738717,0.7688502673796791,0.8270962577546528,0.13220338983050847,0.48
2954,2024-01-09 17:00:28,Andhra Pradesh,Tirupati,IT Services,NPCI,Credential Theft,4,High,ERP System,Sophos Intercept X,Security Analyst,59.12,462,148,4427895,9550,Threat Hunting,Ongoing Investigation,Internal SOC,0.4,0.43998790259842857,0.7877005347593582,0.9549729837902742,0.4847457627118644,0.55
2955,2024-06-26 17:40:20,Delhi,New Delhi,Government,Reliance Retail,Malware,6,High,ERP System,Palo Alto Cortex XDR,Finance Manager,67.0,112,265,7541666,5043,Endpoint Isolation,Ongoing Investigation,CERT-In,0.6,0.7529534907375877,0.893048128342246,0.5040024014408645,0.8813559322033898,0.72
2956,2025-01-14 03:59:23,Telangana,Nizamabad,Government,TCS,Insider Threat,8,High,Cloud Infrastructure,Microsoft Sentinel,HR Executive,7.92,665,61,5058241,7569,Password Reset,Contained,Internal SOC,0.8,0.5033440731778214,0.10320855614973262,0.7567540524314589,0.18983050847457628,0.52
2957,2025-03-09 22:00:01,Telangana,Nizamabad,Healthcare,BSNL,Business Email Compromise,10,High,ERP System,Cisco Secure Endpoint,Finance Manager,19.12,678,169,1403906,3115,Network Isolation,Contained,NCIIPC,1.0,0.13604631668496622,0.2529411764705883,0.31108665199119473,0.5559322033898305,0.52
2958,2024-04-17 08:20:35,Karnataka,Mangaluru,Manufacturing,TCS,Phishing,1,Low,Database Server,Splunk Enterprise Security,System Administrator,6.45,211,86,2316514,759,Backup Restored,Contained,CERT-In,0.1,0.227772683029987,0.08355614973262032,0.07534520712427456,0.2745762711864407,0.14
2959,2024-04-16 08:32:04,West Bengal,Siliguri,Education,ICICI Bank,Phishing,1,Medium,Email Server,Splunk Enterprise Security,Employee,9.52,354,90,2226150,4430,Threat Hunting,Mitigated,CERT-In,0.1,0.2186901838973896,0.12459893048128343,0.44266559935961575,0.288135593220339,0.19
2960,2025-06-02 13:55:58,West Bengal,Siliguri,Telecommunications,NIC,Ransomware,10,High,Payment Gateway,Cisco Secure Endpoint,System Administrator,43.77,473,170,4818962,1495,Network Isolation,Mitigated,CERT-In,1.0,0.47929410516015086,0.5824866310160428,0.14898939363618172,0.559322033898305,0.66
2961,2024-05-27 07:04:21,Delhi,New Delhi,Manufacturing,Airtel,Brute Force,9,High,Web Application,Microsoft Defender XDR,Database Administrator,23.27,36,228,8559050,2508,Threat Hunting,Recovered,State Cyber Crime Cell,0.9,0.8552109084871172,0.3084224598930481,0.25035021012607567,0.7559322033898305,0.69
2962,2025-11-30 07:00:26,Delhi,New Delhi,Energy,Infosys,Zero-Day Exploit,4,High,VPN Gateway,SentinelOne,Employee,27.03,104,151,1202125,3632,MFA Enabled,Mitigated,NCIIPC,0.4,0.11576527824626676,0.3586898395721925,0.36281769061436864,0.49491525423728816,0.33
2963,2024-07-19 14:15:42,West Bengal,Siliguri,Education,LIC,Phishing,4,High,Web Application,Palo Alto Cortex XDR,Finance Manager,34.67,286,79,7135605,1647,MFA Enabled,Mitigated,State Cyber Crime Cell,0.4,0.7121402389970535,0.4608288770053476,0.16419851911146688,0.25084745762711863,0.45
2964,2025-03-06 16:21:07,Delhi,New Delhi,Insurance,HDFC Bank,Ransomware,6,High,Email Server,Splunk Enterprise Security,Database Administrator,66.22,701,42,4766048,612,Endpoint Isolation,Contained,CERT-In,0.6,0.47397571111935743,0.8826203208556149,0.06063638182909746,0.12542372881355932,0.52
